Items,Usage_Laptop,Usage_MobilePhone,Usage_Smartphone,Usage_Tablet,Usage_SmartWatch,Usage_SmartCar,Usage_PC,Usage_SmartTV,Usage_Console,Usage_SmartLights,Usage_SmartHeater,Usage_SmartSpeaker
Interviewdauer [sec],0.0,-0.0613,-0.0751,-0.0714,-0.0918,-0.1111,0.0,0.0,-0.1733,-0.1643,-0.1299,-0.1149
STATUS,,,,,,,,,,,,
current_Q,,,,,,,,,,,,
Consent,,,,,,,,,,,,
CyberThreat_FearCyberWar,0.0,0.0819,0.0,0.0619,0.0,0.1097,0.0,0.0,0.0726,0.0612,0.1066,0.0
CyberThreat_GERCounterAttack,0.0665,0.0,0.0,0.0699,0.0707,0.1324,0.0625,0.0812,0.0744,0.108,0.1534,0.0902
CyberThreat_LEACompetence,0.0,0.0,0.0,0.0841,0.1394,0.0763,0.0,0.062,0.1148,0.1081,0.149,0.0945
CyberThreat_LEAInsecurity,0.0691,0.1071,0.0,0.0,0.0,0.0805,0.0,0.0,0.1206,0.0,0.0644,0.0603
CyberThreat_CyberCrimeJustice,0.0,0.0862,0.0,0.0,0.078,0.1496,0.0,0.0,0.1321,0.1052,0.1332,0.1063
Knows_ENISA,0.1475,0.1616,0.0838,0.2105,0.1609,0.2486,0.1047,0.0679,0.2298,0.2147,0.2622,0.178
Knows_BSI,0.161,0.1703,0.0,0.1783,0.1215,0.2035,0.1382,0.0,0.121,0.1917,0.2187,0.1396
Knows_BKA,0.1608,0.1109,0.0,0.1145,0.141,0.0915,0.1128,0.0701,0.0978,0.1485,0.143,0.0896
Knows_CERTl,0.1961,0.1503,0.0,0.209,0.1835,0.2245,0.103,0.1086,0.2125,0.2476,0.3018,0.173
Knows_Europol,0.167,0.07,0.0957,0.1551,0.1729,0.143,0.0,0.0766,0.1751,0.1914,0.175,0.1419
Knows_CAZ,0.1563,0.1448,0.1051,0.1971,0.1806,0.1937,0.0795,0.1057,0.2098,0.2641,0.2691,0.179
Knows_ProPK,0.0933,0.1208,0.0743,0.1735,0.1619,0.1825,0.1029,0.0917,0.1415,0.2161,0.2497,0.1804
Knows_Zitis,0.141,0.1532,0.0932,0.2096,0.1678,0.2273,0.0911,0.1034,0.1781,0.2306,0.2709,0.1639
Knows_Athene,0.1412,0.1654,0.067,0.235,0.1918,0.2481,0.094,0.1253,0.2198,0.2476,0.3114,0.1599
Knows_CISPA,0.1148,0.1452,0.0,0.1403,0.1316,0.2389,0.1052,0.0634,0.1059,0.1988,0.2689,0.1209
Knows_HGI,0.1638,0.2097,0.0889,0.1635,0.2034,0.2735,0.078,0.1087,0.2746,0.265,0.3566,0.1838
Knows_CODE,0.1623,0.1979,0.1283,0.218,0.2028,0.2773,0.0789,0.1143,0.2978,0.3003,0.3402,0.2069
Knows_Kastel,0.163,0.1967,0.1082,0.2038,0.1846,0.2535,0.1025,0.1204,0.2802,0.2668,0.3055,0.1992
Knows_MPI,0.1683,0.1613,0.0,0.153,0.1222,0.1876,0.0845,0.0845,0.159,0.1891,0.1939,0.1695
Knows_ACS,0.2041,0.1745,0.1576,0.1978,0.1731,0.27,0.0603,0.1232,0.246,0.2697,0.3017,0.1919
Knows_CERTb,0.1944,0.1825,0.0879,0.2245,0.2049,0.2469,0.101,0.1088,0.2343,0.2775,0.2994,0.2028
Knows_CERTv,0.183,0.2241,0.1055,0.2474,0.2068,0.2917,0.1151,0.1159,0.2464,0.284,0.3213,0.2151
Knows_Heise,0.1569,0.1428,0.0,0.1553,0.1631,0.2248,0.1468,0.0,0.2363,0.2097,0.2787,0.1584
Knows_CyberMonth,0.1511,0.1687,0.1175,0.2107,0.1948,0.2934,0.0999,0.1075,0.3237,0.2636,0.2933,0.1875
Knows_PWDay,0.1542,0.1677,0.1454,0.2052,0.1854,0.2427,0.1416,0.1117,0.2854,0.2898,0.2817,0.1932
Knows_DigDay,0.1505,0.1638,0.1467,0.1759,0.1984,0.2725,0.0881,0.1083,0.3003,0.2752,0.2833,0.188
Knows_CSECDay,0.1299,0.1613,0.1338,0.1948,0.1692,0.2654,0.0937,0.0957,0.2836,0.2495,0.3056,0.1938
PastVictim_Virus,0.0,0.1214,0.0,0.0864,0.0,0.1798,0.0809,0.0,0.194,0.1468,0.2054,0.1325
PastVictim_DDoS,0.0725,0.2011,0.1165,0.1656,0.1871,0.3358,0.0872,0.0975,0.2903,0.2562,0.3125,0.1943
PastVictim_PerfTheft,0.078,0.2322,0.1255,0.2051,0.2349,0.4118,0.1119,0.0933,0.3039,0.3259,0.386,0.2283
PastVictim_APT,0.1331,0.2569,0.1201,0.1895,0.2256,0.4309,0.134,0.1243,0.3152,0.3212,0.4168,0.2693
PastVictim_Sidechannel,0.1185,0.1952,0.1717,0.2041,0.2247,0.3972,0.1053,0.1432,0.3164,0.3024,0.4156,0.2536
PastVictim_Spam,0.0,0.0,0.1544,0.0,0.1105,0.0,0.0,0.0965,0.0818,0.0,0.0,0.0
PastVictim_CyBully,0.0787,0.17,0.1461,0.174,0.1804,0.3009,0.0,0.1149,0.2741,0.2652,0.2865,0.2035
PastVictim_CyStalk,0.0,0.148,0.169,0.1379,0.1857,0.2978,0.0,0.1134,0.248,0.2532,0.3118,0.1905
PastVictim_IDTheft,0.0857,0.159,0.1608,0.1226,0.143,0.3155,0.1123,0.0848,0.2369,0.2397,0.3046,0.2252
PastVictim_Ransomware,0.0,0.1013,0.0,0.1227,0.1291,0.1477,0.0899,0.0895,0.1491,0.1386,0.1612,0.1052
PastVictim_ShopScam,0.0659,0.0929,0.1656,0.0964,0.1224,0.2327,0.0,0.0,0.1998,0.1856,0.2607,0.1959
PastVictim_Scareware,0.0749,0.1796,0.1036,0.1265,0.1881,0.3038,0.1061,0.1175,0.2472,0.2324,0.2689,0.1824
PastVictim_Spyware,0.0,0.1017,0.1477,0.1251,0.1772,0.3022,0.0979,0.0902,0.2406,0.2172,0.2628,0.1934
PastVictim_Phishing,0.0,0.1196,0.1301,0.0983,0.1818,0.2796,0.0772,0.0,0.243,0.2259,0.2371,0.1981
PastVictim_Doxing,0.1023,0.1874,0.1341,0.1624,0.2069,0.3204,0.121,0.0924,0.2769,0.2528,0.3256,0.1945
PastVictim_SocEng,0.1004,0.2119,0.1487,0.1691,0.1778,0.3424,0.1039,0.1169,0.3077,0.259,0.3759,0.232
PastVictim_SocMedHack,0.0899,0.1578,0.2008,0.1556,0.1927,0.2537,0.0,0.1185,0.2519,0.2279,0.2507,0.2348
PastHelp_BSI,0.0691,0.1424,0.0,0.1619,0.1139,0.1577,0.0,0.0695,0.0949,0.142,0.2031,0.0796
PastHelp_CERTl,0.1052,0.1451,0.0742,0.1619,0.1888,0.1919,0.0627,0.0937,0.1954,0.2037,0.2169,0.1392
