,Value,Column,Row,Value 1,Value 2
1344,-0.13,Sum_Fear,PastHelp_CERTl,0.24,0.11
387,-0.13,PastVictim_APT,PastHelp_Police,0.12,-0.01
411,-0.13,PastVictim_Sidechannel,PastVictim_DDoS,0.62,0.49
384,-0.13,PastVictim_APT,Knows_CSECDay,0.42,0.29
121,-0.13,CyberThreat_LEACompetence,CyberThreat_Danger,0.03,-0.1
381,-0.13,PastVictim_APT,Knows_CyberMonth,0.47,0.34
118,-0.13,CyberThreat_Helpless,CyberThreat_Education,0.31,0.18
377,-0.13,PastVictim_APT,Knows_MPI,0.32,0.19
137,-0.13,Knows_BSI,Knows_Athene,0.43,0.3
1276,-0.13,RelInfo_DataBreakdown,PastHelp_Colleague,0.14,0.01
421,-0.13,PastVictim_Sidechannel,FutureVictim_CyStalk,0.36,0.23
1348,-0.13,Sum_Fear,PastHelp_EmployerIT,0.29,0.16
105,-0.13,Usage_SmartSpeaker,Sum_SecurityLevel,0.24,0.11
429,-0.13,PastVictim_Spam,PastHelp_Colleague,0.2,0.07
139,-0.13,Knows_BSI,FutureVictim_APT,0.11,-0.02
141,-0.13,Knows_BKA,CyberThreat_GERCounterAttack,0.16,0.03
431,-0.13,PastVictim_Spam,FutureVictim_SocMedHack,0.3,0.17
143,-0.13,Knows_BKA,FutureVictim_Sidechannel,0.05,-0.08
102,-0.13,Usage_SmartSpeaker,Usage_Console,0.35,0.22
58,-0.13,Usage_Console,Knows_CSECDay,0.28,0.15
1249,0.13,FutureInfo_Radio,CyberThreat_SelfDefense,-0.1,0.03
1374,-0.13,Sum_SecurityLevel,FutureVictim_CyStalk,0.2,0.07
12,-0.13,Usage_Laptop,PastInfo_SocialMedia,0.16,0.03
295,-0.13,Knows_CSECDay,Knows_BSI,0.43,0.3
525,-0.13,PastVictim_Spyware,CyberThreat_Danger,0.28,0.15
22,-0.13,Usage_Tablet,PastHelp_Family,0.1,-0.03
524,-0.13,PastVictim_Spyware,Bundesland,0.03,-0.1
1304,0.13,RelInfo_SecEmail,RelInfo_CurrentSpamCampaigns,0.31,0.44
23,0.13,Usage_Tablet,FutureVictim_IDTheft,0.04,0.17
228,-0.13,Knows_Kastel,Knows_Heise,0.46,0.33
231,-0.13,Knows_MPI,Knows_CODE,0.51,0.38
273,-0.13,Knows_PWDay,Knows_Athene,0.48,0.35
512,-0.13,PastVictim_Scareware,PastHelp_CERTl,0.27,0.14
30,-0.13,Usage_SmartWatch,PastVictim_Scareware,0.19,0.06
1237,-0.13,PastInfo_Podcast,PastInfo_Newsletter,0.49,0.36
277,-0.13,Knows_PWDay,Knows_CyberMonth,0.55,0.42
280,-0.13,Knows_PWDay,FutureVictim_CyStalk,0.18,0.05
284,-0.13,Knows_PWDay,FutureVictim_SocMedHack,0.07,-0.06
236,-0.13,Knows_MPI,FutureVictim_Virus,0.02,-0.11
1298,0.13,RelInfo_SecHomeNetwork,RelInfo_NewMalware,0.35,0.48
1243,-0.13,FutureInfo_Publication,CyberThreat_Uninformed,0.03,-0.1
212,-0.13,Knows_CODE,Knows_BKA,0.24,0.11
489,-0.13,PastVictim_ShopScam,PastVictim_Doxing,0.48,0.35
538,-0.13,PastVictim_Spyware,PastHelp_Self,0.18,0.05
1370,-0.13,Sum_SecurityLevel,PastHelp_Influencer,0.18,0.05
1320,-0.13,Sum_institution_knowledge,Knows_Athene,0.69,0.56
282,-0.13,Knows_PWDay,FutureVictim_ShopScam,0.1,-0.03
261,-0.13,Knows_Heise,Knows_CyberMonth,0.51,0.38
242,-0.13,Knows_CERTb,CyberThreat_Danger,0.14,0.01
890,0.12,FutureVictim_Sidechannel,CyberThreat_Uninformed,0.13,0.25
232,-0.12,Knows_MPI,Knows_Kastel,0.51,0.39
130,-0.12,Knows_ENISA,Knows_CERTv,0.6,0.48
1311,0.12,RelInfo_Tutorial,PastInfo_Fam,0.05,0.17
892,-0.12,FutureVictim_Sidechannel,FutureInfo_Publication,0.07,-0.05
824,-0.12,PastHelp_IntExperts,CyberThreat_Uninformed,0.05,-0.07
1167,-0.12,PastInfo_Publication,CyberThreat_GERCounterAttack,0.2,0.08
895,-0.12,FutureVictim_CyBully,CyberThreat_Danger,0.24,0.12
249,-0.12,Knows_CERTv,CyberThreat_KnownWebsites,0.11,-0.01
1335,-0.12,Sum_Fear,Knows_BKA,0.2,0.08
243,-0.12,Knows_CERTb,CyberThreat_FearCyberWar,0.16,0.04
818,-0.12,PastHelp_Forum,FutureVictim_CyBully,0.14,0.02
900,-0.12,FutureVictim_IDTheft,CyberThreat_KnownWebsites,0.08,-0.04
811,-0.12,PastHelp_PrivateMed,FutureVictim_Spyware,0.13,0.01
1337,-0.12,Sum_Fear,Knows_Zitis,0.22,0.1
1317,0.12,RelInfo_RecHelp,PastInfo_SecAgencySites,0.07,0.19
908,0.12,FutureVictim_Ransomware,FutureInfo_WarningApps,-0.06,0.06
816,-0.12,PastHelp_Forum,CyberThreat_Uninformed,0.03,-0.09
820,-0.12,PastHelp_Forum,FutureVictim_SocEng,0.11,-0.01
1339,-0.12,Sum_Fear,Knows_PWDay,0.19,0.07
