Items,PastVictim_Virus,PastVictim_DDoS,PastVictim_PerfTheft,PastVictim_APT,PastVictim_Sidechannel,PastVictim_Spam,PastVictim_CyBully,PastVictim_CyStalk,PastVictim_IDTheft,PastVictim_Ransomware,PastVictim_ShopScam,PastVictim_Scareware,PastVictim_Spyware,PastVictim_Phishing,PastVictim_Doxing,PastVictim_SocEng,PastVictim_SocMedHack,FutureVictim_Virus,FutureVictim_DDoS,FutureVictim_PerfTheft,FutureVictim_APT,FutureVictim_Sidechannel,FutureVictim_Spam,FutureVictim_CyBully,FutureVictim_CyStalk,FutureVictim_IDTheft,FutureVictim_Ransomware,FutureVictim_ShopScam,FutureVictim_Scareware,FutureVictim_Spyware,FutureVictim_Phishing,FutureVictim_Doxing,FutureVictim_SocEng,FutureVictim_SocMedHack
CyberThreat_CyberCrimeJustice,0.08,0.15,0.28,0.27,0.25,-0.08,0.12,0.14,0.14,0.07,0.1,0.19,0.11,0.1,0.19,0.2,0.14,0.0,0.0,0.0,0.0,0.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.11,-0.09,0.0,0.0,0.0,0.0
Knows_ENISA,0.2,0.29,0.38,0.43,0.39,0.0,0.26,0.27,0.23,0.13,0.22,0.23,0.24,0.21,0.33,0.34,0.26,0.0,0.1,0.09,0.14,0.16,0.0,0.13,0.17,0.07,0.0,0.1,0.11,0.0,0.0,0.12,0.11,0.0
Knows_BSI,0.19,0.23,0.26,0.27,0.23,0.0,0.13,0.15,0.11,0.0,0.11,0.15,0.24,0.18,0.21,0.21,0.13,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knows_BKA,0.14,0.16,0.12,0.13,0.1,0.08,0.08,0.1,0.08,0.06,0.0,0.09,0.19,0.15,0.1,0.07,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Knows_CERTl,0.15,0.34,0.37,0.4,0.35,-0.07,0.25,0.24,0.21,0.11,0.2,0.29,0.26,0.26,0.32,0.3,0.22,0.0,0.09,0.1,0.14,0.09,-0.08,0.11,0.15,0.0,0.0,0.0,0.09,0.0,0.0,0.08,0.0,0.0
Knows_Europol,0.15,0.21,0.14,0.2,0.18,0.0,0.17,0.16,0.14,0.07,0.07,0.13,0.17,0.18,0.16,0.15,0.19,0.0,0.08,0.0,0.0,0.12,0.09,0.12,0.12,0.0,0.08,0.09,0.0,0.0,0.0,0.08,0.0,0.0
Knows_CAZ,0.18,0.28,0.3,0.36,0.33,0.0,0.22,0.25,0.18,0.12,0.19,0.24,0.25,0.24,0.29,0.27,0.23,0.0,0.08,0.09,0.11,0.13,0.0,0.09,0.12,0.0,0.0,0.0,0.08,0.0,0.0,0.07,0.0,0.0
Knows_ProPK,0.15,0.24,0.3,0.35,0.29,0.0,0.21,0.25,0.22,0.11,0.14,0.22,0.22,0.19,0.25,0.27,0.22,0.0,0.0,0.0,0.09,0.11,0.0,0.13,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0
Knows_Zitis,0.19,0.31,0.34,0.39,0.38,0.0,0.25,0.26,0.2,0.15,0.18,0.27,0.25,0.24,0.31,0.33,0.23,0.0,0.09,0.11,0.15,0.14,0.0,0.17,0.21,0.0,0.0,0.08,0.11,0.0,0.0,0.11,0.09,0.0
Knows_Athene,0.2,0.3,0.39,0.42,0.4,0.0,0.27,0.28,0.26,0.17,0.21,0.26,0.28,0.25,0.32,0.36,0.23,0.0,0.08,0.12,0.14,0.16,-0.1,0.13,0.15,0.0,0.0,0.0,0.11,0.0,0.0,0.08,0.09,0.0
Knows_CISPA,0.17,0.29,0.34,0.4,0.39,0.0,0.2,0.23,0.23,0.14,0.18,0.25,0.26,0.23,0.32,0.32,0.18,0.0,0.1,0.1,0.14,0.18,-0.11,0.08,0.11,0.0,0.0,0.0,0.1,0.0,0.0,0.07,0.0,0.0
Knows_HGI,0.2,0.34,0.44,0.49,0.49,0.0,0.34,0.34,0.3,0.17,0.24,0.31,0.28,0.31,0.4,0.43,0.29,0.0,0.13,0.13,0.16,0.18,-0.08,0.19,0.23,0.08,0.08,0.1,0.14,0.0,0.07,0.17,0.14,0.07
Knows_CODE,0.22,0.36,0.45,0.5,0.45,0.0,0.33,0.33,0.3,0.19,0.21,0.32,0.3,0.32,0.4,0.42,0.29,0.0,0.14,0.14,0.15,0.17,0.0,0.18,0.2,0.0,0.07,0.08,0.14,0.0,0.09,0.15,0.11,0.0
Knows_Kastel,0.19,0.35,0.44,0.48,0.42,0.0,0.28,0.31,0.28,0.19,0.22,0.33,0.28,0.25,0.37,0.4,0.27,0.0,0.09,0.1,0.15,0.14,0.0,0.13,0.16,0.0,0.0,0.0,0.09,0.0,0.0,0.13,0.11,0.0
Knows_MPI,0.18,0.26,0.28,0.32,0.28,0.0,0.18,0.16,0.18,0.15,0.11,0.23,0.24,0.22,0.23,0.26,0.2,0.0,0.08,0.0,0.13,0.12,0.0,0.07,0.1,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.07,0.0
Knows_ACS,0.2,0.32,0.37,0.43,0.4,0.0,0.29,0.29,0.28,0.13,0.21,0.28,0.26,0.26,0.36,0.36,0.27,0.0,0.09,0.11,0.15,0.15,0.0,0.16,0.18,0.0,0.07,0.08,0.09,0.0,0.0,0.11,0.09,0.0
